Course Name,Hole Number,Par,Handicap for that hole,Back Tee Yardage,Medium Tee Yardage,Front Tee Yardage,Special Notes about that hole
Pebble Beach Golf Links,1,4,9,380,355,310,Dogleg right off the tee. Bunker left side at 210y. Open approach to green guarded by bunker front right.
Pebble Beach Golf Links,2,5,11,502,478,430,Long par 5 bending left. Lay up short of the creek at 260y or go for it in two. Green slopes front to back.
Pebble Beach Golf Links,3,4,15,390,368,325,Straight par 4. Two bunkers flank the green. Approach from left side of fairway for better angle.
Pebble Beach Golf Links,4,4,1,327,305,265,Short par 4. Driver optional — lay up to 100y leaves full wedge. Bunker guards right side of green.
Pebble Beach Golf Links,5,3,17,166,145,120,Over water to a two-tiered green. Miss right — bunker left is dead. Front pin plays longer than it looks.
Pebble Beach Golf Links,6,5,7,516,492,440,Reachable par 5. Second shot over gulch at 280y out. Green runs fast and firm — don't be short.
Pebble Beach Golf Links,7,3,13,106,95,75,World-famous cliffside par 3. Ocean left and beyond. Aim at the center of the green regardless of pin. Wind is always a factor.
Pebble Beach Golf Links,8,4,3,425,402,365,Dogleg right along cliffs. Tee shot must carry 210y to reach the corner. Approach blind over ridge — aim at the flag stick.
Pebble Beach Golf Links,9,4,5,464,440,385,Long demanding par 4. Ocean hugs the left the entire hole. Stay right off the tee. Approach plays into prevailing wind.
Pebble Beach Golf Links,10,4,17,446,423,375,Similar to 9 — ocean left, OB right. Lay up to 100-150y is the safe play for higher handicaps.
Pebble Beach Golf Links,11,4,13,380,358,305,Short par 4 with a narrow landing zone. Pine trees right and left. Miss short of the green — deep bunker behind.
Pebble Beach Golf Links,12,3,15,202,178,130,Long par 3 over a ravine. One of the toughest holes on the course. Take one extra club — the green is elevated.
Pebble Beach Golf Links,13,4,5,399,378,330,Dogleg left. Bunkers at 230y on left fairway. Approach uphill to a well-bunkered green — aim at the center.
Pebble Beach Golf Links,14,5,3,573,548,475,Long par 5. Three bunkers down the left side. Can reach in two with a perfect drive. Green is large with severe slope right to left.
Pebble Beach Golf Links,15,4,11,396,372,320,Uphill par 4 — plays at least one club longer than the yardage. Avoid the fairway bunker left at 195y.
Pebble Beach Golf Links,16,4,1,402,378,330,One of the toughest holes. Ocean in play on the left from tee to green. Bunker short right of green is a common miss.
Pebble Beach Golf Links,17,3,7,178,155,120,Iconic par 3 — tree left, bunker right, beach behind. Club up one in wind. Back-right pin is a tough Sunday flag.
Pebble Beach Golf Links,18,5,9,543,516,455,Finishing hole along the ocean. Lay up short of the creek at 290y or go for it. Approach plays into ocean breeze — take extra club in.
